id,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,pos_chr
100011,Packers,DST,GB,5.91,0.998,0.147,4.42,6.87,-0.77,-1.2,-1.71,112,111,126,17,13,20,3.24,6.29,,DST
2555468,Rashard Higgins,WR,CLE,5.77,1.01,0.0646,4.81,7.33,-3.8,-3.22,-3.8,190,159,186,64,11,72.8,4.04,4.05,,WR
2566343,Rhamondre Stevenson,RB,NE,5.76,0.897,0.048,5.01,7.12,-3.84,-3.54,-5.13,191,167,216,47,11,54.4,3.21,3.87,,RB
100020,Vikings,DST,MIN,5.76,1.22,0.0692,4.29,7.06,-0.917,-1.34,-1.53,113,116,119,18,13,19.6,1.67,4.9,,DST
2495466,Mark Ingram,RB,NO,5.72,1.94,0.163,3.51,8.26,-3.89,-5.04,-3.99,193,229,192,48,11,42.4,2.45,5.06,,RB
2566385,Elijah Moore,WR,NYJ,5.71,1.84,0.0863,3.9,7.29,-3.87,-4.14,-3.83,192,192,188,65,11,55.9,3.71,5.46,,WR
100006,Bengals,DST,CIN,5.69,0.898,0.0346,4.21,6.34,-0.986,-1.42,-2.24,114,117,138,19,14,12.7,2.39,4.97,,DST
100025,Eagles,DST,PHI,5.66,0.336,0.0621,5.14,5.9,-1.02,-0.488,-2.68,115,93,156,20,14,20,1.46,2.37,,DST
2560936,Cedrick Wilson,WR,DAL,5.62,1.15,0.00121,4.45,7.08,-3.95,-3.58,-4.04,196,168,194,66,11,66.9,7.48,5.68,,WR
2564802,Denzel Mims,WR,NYJ,5.62,1.33,0.0308,4.3,6.84,-3.95,-3.73,-4.28,197,178,199,67,11,78.7,8.12,6.26,,WR
100023,Giants,DST,NYG,5.6,0.504,0.132,4.86,6.2,-1.08,-0.768,-2.39,118,103,149,21,15,20.8,1.65,3.03,,DST
2566127,Nico Collins,WR,HOU,5.59,1.78,0.174,2.97,7.51,-3.98,-5.07,-3.61,198,234,185,68,11,61.2,2.73,4.95,,WR
2555415,Austin Hooper,TE,CLE,5.58,1.35,0.031,3.68,6.88,-1.61,-2.23,-1.51,131,134,118,21,7,23.9,1.62,4.48,,TE
2562682,Alexander Mattison,RB,MIN,5.55,3.7,0.131,1.16,10.2,-4.05,-7.39,-2.04,201,311,132,49,11,52.7,3.16,7.99,,RB
2564676,Juwan Johnson,TE,NO,5.55,,0.166,,,-1.64,,,132,,,22,7,43.8,3.12,4.59,O,TE
100016,Chiefs,DST,KC,5.47,1.67,0.103,3.36,7.1,-1.21,-2.27,-1.48,123,136,117,22,16,21.5,6.58,12.2,,DST
2565542,Ty'Son Williams,RB,BAL,5.42,2.32,0.488,3.59,8.74,-4.18,-4.96,-3.51,203,223,181,50,12,54.1,6.4,7.43,,RB
2564880,Quez Watkins,WR,PHI,5.41,0.981,0.226,4.31,6.85,-4.16,-3.72,-4.27,202,177,198,69,11,59.8,4.8,4.31,,WR
2563704,Cole Kmet,TE,CHI,5.38,0.254,0.0754,5.07,5.67,-1.81,-0.834,-2.73,137,106,158,23,7,20.2,1,2.52,,TE
100005,Bears,DST,CHI,5.36,0.277,0.466,5.01,5.59,-1.32,-0.609,-3,126,95,168,23,17,15.9,2.75,3.82,,DST
2558832,Mo Alie-Cox,TE,IND,5.31,1.18,0.261,3.66,7.08,-1.88,-2.25,-1.31,143,135,113,24,7,18.4,1.5,4.18,,TE
2566136,Davis Mills,QB,HOU,5.26,7.41,1.53,0.929,13.5,-13.7,-16.6,-6.75,411,359,253,31,12,,,13,,QB
2563602,Gabriel Davis,WR,BUF,5.19,1.44,0.0796,3.26,6.49,-4.38,-4.78,-4.63,209,210,205,70,11,69.6,3.82,4.77,,WR
2495448,Randall Cobb,WR,GB,5.11,1.16,0.109,3.74,6.55,-4.46,-4.29,-4.57,212,196,204,71,11,66.2,7.92,5.88,,WR
2558207,Jonnu Smith,TE,NE,5.05,1.16,0.147,3.3,6,-2.15,-2.61,-2.39,147,144,150,25,8,21.8,1.63,4.19,,TE
2562808,Olamide Zaccheaus,WR,ATL,5,0.903,0.00487,4.41,6.27,-4.57,-3.62,-4.85,215,172,211,72,11,78.6,6.16,4.71,,WR
2564850,Jalen Reagor,WR,PHI,4.99,0.636,0.303,4.34,5.79,-4.58,-3.69,-5.33,216,175,221,73,11,70.6,5.71,4.04,,WR
2560809,Sony Michel,RB,LAR,4.93,1.66,0.135,2.36,6.07,-4.67,-6.19,-6.18,219,264,240,51,12,49.8,3.56,5.16,,RB
2562435,Tyree Jackson,TE,PHI,4.9,,0.0693,,,-2.29,,,150,,,26,8,40.3,13.8,14,,TE
100001,Falcons,DST,ATL,4.9,1.78,0.522,2.41,6.19,-1.78,-3.21,-2.39,135,158,151,24,18,22.7,2.12,6.9,,DST
2557986,David Njoku,TE,CLE,4.83,0.99,0.0103,3.9,6.28,-2.36,-2.01,-2.12,153,128,134,27,8,22,1.45,3.85,,TE
2562750,Tommy Sweeney,TE,BUF,4.82,1.15,0.343,3.18,6.03,-2.37,-2.73,-2.37,154,147,145,28,8,23,2.21,4.43,,TE
2557994,DOnta Foreman,RB,TEN,4.8,4.75,0.0284,1.61,10,-4.81,-6.94,-2.2,224,281,137,52,12,65.9,8.71,12.1,,RB
2558138,Samaje Perine,RB,CIN,4.77,0.435,0.277,4.16,5.23,-4.84,-4.39,-7.03,225,200,264,53,12,47.6,3.17,3.16,,RB
2555317,Tajae Sharpe,WR,ATL,4.69,0.58,0.0907,4.04,5.42,-4.88,-3.99,-5.71,226,184,231,74,12,55,6.32,4.18,,WR
2649,Danny Amendola,WR,HOU,4.6,1.24,0.0682,3.52,6.35,-4.97,-4.52,-4.77,230,205,207,75,12,76,3.91,4.42,,WR
2560920,James Washington,WR,PIT,4.53,1.9,0.201,2.99,7.05,-5.04,-5.05,-4.08,232,230,195,76,12,82.1,3.24,5.36,,WR
2539265,Rex Burkhead,RB,HOU,4.49,2.41,0.125,2.5,7.54,-5.11,-6.05,-4.71,236,257,206,54,12,50.8,2.96,6,,RB
2560951,Jordan Akins,TE,HOU,4.48,1.1,0.0474,2.76,5.54,-2.72,-3.14,-2.85,163,156,164,29,8,28.4,2.53,4.49,,TE
2552402,Nick Boyle,TE,BAL,4.43,,0.286,,,-2.76,,,164,,,30,8,54.6,11.1,11.6,,TE
100009,Broncos,DST,DEN,4.38,0.959,0.31,3.44,5.66,-2.31,-2.18,-2.92,152,133,166,25,19,22.5,3.56,6.59,,DST
2540175,LeVeon Bell,RB,BAL,4.37,1.07,0.0886,3.23,5.28,-5.24,-5.32,-6.97,238,243,261,55,12,53.3,4.72,4.81,,RB
2540175,LeVeon Bell,RB,FA,4.37,1.07,0.0886,3.23,5.28,-5.24,-5.32,-6.97,238,243,261,55,12,53.3,4.72,4.81,,RB
2559153,Keelan Cole,WR,NYJ,4.33,0.952,0.00588,3.33,5.16,-5.24,-4.7,-5.96,239,209,235,77,12,69.9,3.19,3.62,,WR
2557863,Zay Jones,WR,LVR,4.32,0.953,0.158,3.24,5.49,-5.25,-4.79,-5.63,240,211,227,78,12,72.4,8.86,5.87,,WR
2532797,Brandon Bolden,RB,NE,4.28,0.745,0.163,3.24,4.89,-5.33,-5.31,-7.36,242,241,277,56,12,50.5,2.86,3.48,,RB
2558262,Mack Hollins,WR,MIA,4.17,0.776,0.0668,3.15,5.17,-5.4,-4.88,-5.96,243,217,234,79,12,82.9,8.53,5.42,,WR
2562394,Donald Parham,TE,LAC,4.14,1.8,0.15,2.63,6.02,-3.05,-3.27,-2.37,168,160,147,31,9,,,7.1,,TE
2565108,JaMycal Hasty,RB,SF,4.12,0.616,0.147,3.4,4.91,-5.49,-5.15,-7.34,249,237,275,57,12,50.3,4.66,4.11,,RB
2558194,Josh Reynolds,WR,TEN,4.1,,0.108,,,-5.47,,,247,,,80,12,,,,O,WR
2558194,Josh Reynolds,WR,DET,4.1,,0.108,,,-5.47,,,247,,,80,12,,,,O,WR
100024,Jets,DST,NYJ,4.07,1.01,0.171,2.91,5.26,-2.62,-2.71,-3.33,160,146,176,26,20,24.6,1.87,4.6,,DST
2558010,John Ross,WR,NYG,3.99,1.17,0.111,2.67,5.09,-5.58,-5.37,-6.04,250,246,236,81,12,81.2,7.46,5.7,,WR
2560747,Hayden Hurst,TE,ATL,3.99,1.69,0.104,1.86,5.73,-3.2,-4.04,-2.66,171,187,155,32,9,25.4,1.4,4.91,,TE
2566544,Trey Sermon,RB,SF,3.97,,0.02,,,-5.64,,,252,,,58,12,,,,O,RB
2556466,Peyton Barber,RB,LVR,3.95,,0.127,,,-5.66,,,253,,,59,13,,,,O,RB
2552468,Maxx Williams,TE,ARI,3.89,,0.122,,,-3.3,,,174,,,33,9,,,,IR,TE
100012,Titans,DST,TEN,3.89,0.956,1.68,3.04,5.45,-2.79,-2.58,-3.13,165,142,172,27,21,26.1,1.09,3.51,,DST
2562844,Jalen Guyton,WR,LAC,3.88,0.499,0.03,3.4,4.59,-5.69,-4.63,-6.54,255,208,247,82,12,79.9,2.95,2.69,,WR
2560844,Byron Pringle,WR,KC,3.85,0.863,0.0408,3.2,4.97,-5.72,-4.84,-6.16,257,214,239,83,12,71.6,3.94,3.75,,WR
2555418,Jordan Howard,RB,PHI,3.82,1.28,0.0964,2.61,5.5,-5.78,-5.94,-6.76,259,256,254,60,13,42.2,4.07,4.83,,RB
2561029,Keke Coutee,WR,IND,3.81,,0.16,,,-5.76,,,258,,,84,12,143,7.87,7.06,,WR
2495888,Marcedes Lewis,TE,GB,3.77,1.86,0.241,2.23,6.81,-3.42,-3.68,-1.59,181,174,121,34,9,33.2,3.31,6.02,,TE
2559947,Phillip Lindsay,RB,HOU,3.73,1.16,0.263,2.48,5.24,-5.88,-6.07,-7.01,263,258,263,61,13,53.9,3.92,4.57,,RB
2559947,Phillip Lindsay,RB,MIA,3.73,1.16,0.263,2.48,5.24,-5.88,-6.07,-7.01,263,258,263,61,13,53.9,3.92,4.57,,RB
2566532,Trey Lance,QB,SF,3.72,1.27,0.322,2.77,5.42,-15.2,-14.8,-14.9,412,352,354,32,12,,,4.6,,QB
2543457,Sammy Watkins,WR,BAL,3.65,,0.00189,,,-5.92,,,265,,,85,12,,,,O,WR
2552652,Chris Conley,WR,HOU,3.65,1.75,0.0205,1.9,5.64,-5.92,-6.13,-5.48,266,260,224,86,12,88.3,5.26,5.9,,WR
2562542,Antoine Wesley,WR,ARI,3.63,2.03,0.109,2.27,5.07,-5.94,-5.76,-6.06,268,251,237,87,12,87.1,11.3,8.8,,WR
2564703,Adam Trautman,TE,NO,3.53,1.18,0.0846,1.94,4.91,-3.67,-3.97,-3.48,186,182,180,35,9,25.3,2.36,4.54,,TE
2555478,Demarcus Robinson,WR,KC,3.52,1.31,0.0444,1.76,4.82,-6.05,-6.27,-6.31,274,268,244,88,13,77.1,4.72,4.89,,WR
2560975,Braxton Berrios,WR,NYJ,3.47,0.725,0.0925,2.98,3.98,-6.1,-5.05,-7.14,275,232,268,89,13,104,8.39,5.27,,WR
2565054,Joshua Kelley,RB,LAC,3.46,1.38,0.346,1.89,4.91,-6.14,-6.67,-7.35,277,273,276,62,13,66.9,6.63,6.14,,RB
2558942,Anthony Firkser,TE,TEN,3.44,0.815,0.143,2.42,4.46,-3.75,-3.49,-3.94,189,166,191,36,9,29.3,2.48,4.03,,TE
2566352,Ian Book,QB,NO,3.4,,1.46,,,-15.6,,,413,,,33,13,,,,,QB
2563551,Devin Duvernay,WR,BAL,3.38,0.733,0.0659,2.26,3.98,-6.19,-5.77,-7.14,278,252,267,90,13,92.8,6.93,4.7,,WR
2565477,Nick Westbrook-Ikhine,WR,TEN,3.32,1.26,0.0645,1.86,4.82,-6.25,-6.17,-6.3,281,263,243,91,13,83.8,8.51,6.29,,WR
2559193,Blake Jarwin,TE,DAL,3.3,,0.0472,,,-3.89,,,194,,,37,9,,,,IR,TE
2550272,Albert Wilson,WR,MIA,3.25,1.88,0.257,1.36,5.28,-6.32,-6.68,-5.84,282,274,232,92,13,100,6.25,6.52,,WR
2563980,Josiah Deguara,TE,GB,3.25,0.733,0.298,2.47,3.86,-3.94,-3.44,-4.54,195,164,203,38,10,35,4,4.58,,TE
2562409,Devine Ozigbo,RB,JAC,3.12,,0.0531,,,-6.49,,,287,,,63,13,72,4.77,5.44,,RB
2562409,Devine Ozigbo,RB,NE,3.12,,0.0531,,,-6.49,,,287,,,63,13,72,4.77,5.44,,RB
2540230,Kyle Juszczyk,RB,SF,3.06,1.27,0.242,1.65,4.53,-6.54,-6.9,-7.72,288,280,280,64,13,59.1,3.24,4.44,,RB
2533040,Mohamed Sanu,WR,SF,2.99,1.06,0.0563,1.56,4,-6.58,-6.47,-7.13,289,270,266,93,13,85.6,7,5.32,,WR
2565914,Tommy Tremble,TE,CAR,2.95,0.627,0.07,2.2,3.58,-4.24,-3.71,-4.82,204,176,209,39,10,30.9,2.13,3.59,,TE
2558071,Isaiah Ford,WR,MIA,2.94,1.52,0.00701,1.43,4.36,-6.63,-6.61,-6.76,290,272,255,94,13,104,6.8,6.08,,WR
2556855,Marcus Johnson,WR,TEN,2.93,2.04,0.105,0.826,4.73,-6.64,-7.21,-6.4,291,298,246,95,13,91.2,6.67,6.99,,WR
2552401,MyCole Pruitt,TE,TEN,2.88,1.19,0.019,1.92,4.51,-4.31,-3.99,-3.88,206,183,190,40,10,40.6,2.22,4.51,,TE
2562317,Foster Moreau,TE,LVR,2.87,1.05,0.0154,1.74,4.06,-4.33,-4.17,-4.33,207,194,200,41,10,31.1,2.72,4.51,,TE
2550313,Richard Rodgers,TE,PHI,2.85,,0.0989,,,-4.34,,,208,,,42,10,65.6,8.4,9.23,,TE
2556396,Chester Rogers,WR,TEN,2.83,0.902,0.0449,1.87,3.92,-6.75,-6.16,-7.21,296,262,272,96,13,92,4.62,4.09,,WR
2543715,Jerick McKinnon,RB,KC,2.82,0.961,0.329,1.97,3.74,-6.78,-6.58,-8.51,297,271,291,65,14,60,5.08,4.81,,RB
2555209,Chris Moore,WR,HOU,2.78,1.26,0.228,1.82,4.49,-6.79,-6.21,-6.63,298,266,249,97,13,92.8,5.14,4.96,,WR
2558144,Adam Shaheen,TE,MIA,2.75,0.168,0.11,2.63,2.93,-4.44,-3.28,-5.46,211,161,223,43,10,43.1,2.45,3.02,,TE
2553454,Geoff Swaim,TE,TEN,2.64,0.724,0.0322,1.59,3.47,-4.55,-4.32,-4.93,214,197,212,44,10,35.4,3.96,4.55,,TE
2560880,Durham Smythe,TE,MIA,2.61,1.14,0.0191,1.03,3.54,-4.58,-4.88,-4.85,217,216,210,45,10,39.9,5.06,5.67,,TE
2495438,Kyle Rudolph,TE,NYG,2.59,1.05,0.0965,1.51,3.87,-4.6,-4.39,-4.53,218,202,202,46,10,37,2.65,4.47,,TE
2562562,Ashton Dulin,WR,IND,2.55,1.61,0.151,0.869,3.96,-7.02,-7.16,-7.16,302,296,269,98,13,90.3,8.48,6.91,,WR
2556885,Jalen Richard,RB,LVR,2.49,0.684,0.0143,1.87,3.19,-7.11,-6.68,-9.06,305,275,300,66,14,69.4,6.39,5,,RB
2560894,Ian Thomas,TE,CAR,2.49,0.439,0.0276,2.06,3.09,-4.7,-3.85,-5.3,220,180,220,47,10,39.2,3.67,3.98,,TE
2565968,Demetric Felton,RB,CLE,2.48,1.56,0.0715,1.05,4.53,-7.13,-7.5,-7.72,306,318,279,67,14,64,4.7,5.53,,RB
2565968,Demetric Felton,RB,CLE,2.48,1.56,0.0715,1.05,4.53,-7.13,-7.5,-7.72,306,318,279,67,14,101,7.36,6.74,,RB
2566130,Brevin Jordan,TE,HOU,2.47,0.49,0.0764,1.82,2.95,-4.73,-4.08,-5.45,222,189,222,48,10,36.8,3.08,3.8,,TE
2559362,Dare Ogunbowale,RB,JAC,2.41,1.37,0.103,1.31,4.21,-7.2,-7.24,-8.04,308,303,284,68,14,66.9,6.37,6,,RB
2539964,Marquise Goodwin,WR,CHI,2.4,0.483,0.104,1.95,3.02,-7.17,-6.08,-8.1,307,259,287,99,14,87.5,4.56,3.3,,WR
2563767,Harrison Bryant,TE,CLE,2.39,0.761,0.0932,1.91,3.43,-4.8,-4,-4.96,223,185,214,49,10,38.6,6.27,5.62,,TE
2565944,Chris Evans,RB,CIN,2.31,1.57,0.0793,1.11,4.43,-7.3,-7.44,-7.82,310,313,281,69,14,81.4,7.53,6.82,,RB
2539336,Tavon Austin,WR,JAC,2.3,0.76,0.0448,1.26,2.9,-7.27,-6.78,-8.22,309,277,288,100,14,104,8.04,5.19,,WR
2562654,Zach Gentry,TE,PIT,2.3,0.487,0.0218,1.8,2.73,-4.9,-4.11,-5.67,227,190,229,50,10,46.6,5.05,4.66,,TE
2565603,Deon Jackson,RB,IND,2.23,,0.0134,,,-7.38,,,315,,,70,14,86.9,11.5,11.5,,RB
2563296,Patrick Laird,RB,,2.21,0.899,0.213,1.6,2.83,-7.39,-6.96,-9.42,316,283,305,71,14,71.9,4.94,4.66,,RB
100015,Jaguars,DST,JAC,2.21,2.65,,-1.37,4.32,-4.47,-6.99,-4.27,213,286,197,28,,27.9,0.29,6.88,,DST
2558123,Marlon Mack,RB,IND,2,,0.0299,,,-7.61,,,326,,,72,14,,,,O,RB
2564808,Lamical Perine,RB,NYJ,1.97,0.863,0.0161,1.32,2.9,-7.64,-7.23,-9.35,329,302,304,73,14,74.4,3.81,4.09,,RB
2564040,Patrick Taylor,RB,GB,1.95,,0.135,,,-7.65,,,330,,,74,14,104,2.36,3.25,,RB
2555365,Brandon Allen,QB,CIN,1.94,1.48,0.0215,0.948,2.97,-17,-16.6,-17.3,414,357,355,34,13,,,4.89,,QB
2539275,Mike Glennon,QB,NYG,1.92,1.46,0.117,0.944,2.93,-17,-16.6,-17.3,415,358,356,35,13,,,4.85,,QB
2560967,Kalen Ballage,RB,PIT,1.82,0.528,0.00897,1.09,2.25,-7.79,-7.46,-10,333,315,318,75,14,72.7,4.74,4.01,,RB
2562796,Gardner Minshew,QB,PHI,1.81,0.985,0.101,1.03,2.88,-17.1,-16.5,-17.4,416,355,357,36,13,,,4.21,,QB
2562743,Benny Snell,RB,PIT,1.81,0.756,0.125,1.21,2.63,-7.8,-7.34,-9.63,334,308,310,76,14,71,5.84,4.85,,RB
2495143,Andy Dalton,QB,CHI,1.7,1.46,0.0399,0.727,2.72,-17.2,-16.8,-17.6,417,363,358,37,13,,,4.85,,QB
2564085,Scottie Phillips,RB,HOU,1.68,1.4,0.0136,0.434,3.13,-7.92,-8.12,-9.12,337,339,302,77,14,60.3,7.79,6.69,,RB
2566364,Gary Brightwell,RB,NYG,1.67,0.661,0.0499,1.22,2.13,-7.94,-7.33,-10.1,338,307,322,78,14,81.8,4.25,3.99,,RB
2563458,Chris Streveler,QB,ARI,1.66,,0.089,,,-17.3,,,418,,,38,13,,,,,QB
2563458,Chris Streveler,QB,FA,1.66,,0.089,,,-17.3,,,418,,,38,13,,,,,QB
2552374,Ameer Abdullah,RB,CAR,1.62,0.385,0.0138,1.35,2.04,-7.99,-7.2,-10.2,340,297,325,79,14,63.5,4.44,3.67,,RB
2556762,Elijhaa Penny,RB,NYG,1.61,0.489,0.0126,1.18,2.27,-8,-7.37,-9.99,341,309,317,80,14,63.1,3.23,3.27,,RB
2564994,Anthony McFarland,RB,PIT,1.59,0.893,0.0795,0.774,2.49,-8.01,-7.78,-9.76,342,331,311,81,15,71.7,3.62,4.05,,RB
2557897,Davis Webb,QB,BUF,1.58,,0.109,,,-17.4,,,419,,,39,13,,,,,QB
2557897,Davis Webb,QB,NYG,1.58,,0.109,,,-17.4,,,419,,,39,13,,,,,QB
2556803,C.J. Ham,RB,MIN,1.52,0.1,0.0206,1.42,1.62,-8.09,-7.13,-10.6,344,291,338,82,15,72.9,4.01,3.05,,RB
2550400,Keith Smith,RB,ATL,1.49,0.677,0.179,1.03,1.96,-8.11,-7.53,-10.3,346,320,328,83,15,80.1,3.85,3.83,,RB
252,Chad Henne,QB,KC,1.47,0.735,0.145,0.973,1.97,-17.5,-16.6,-18.3,420,356,359,40,13,,,3.87,,QB
2562797,Qadree Ollison,RB,ATL,1.32,,0.055,,,-8.29,,,350,,,84,15,91.4,7.37,7.8,,RB
2560733,Royce Freeman,RB,CAR,1.26,0.212,0.0515,1.11,1.4,-8.35,-7.45,-10.9,354,314,340,85,15,67.2,7.22,4.67,O,RB
2560733,Royce Freeman,RB,HOU,1.26,0.212,0.0515,1.11,1.4,-8.35,-7.45,-10.9,354,314,340,85,15,67.2,7.22,4.67,O,RB
2562288,Alec Ingold,RB,LVR,1.21,0.424,0.0148,0.863,1.66,-8.4,-7.69,-10.6,358,329,336,86,15,77.4,7.21,4.98,,RB
2558990,Patrick Ricard,RB,BAL,1.19,0.664,0.0454,0.634,1.88,-8.41,-7.92,-10.4,359,335,330,87,15,83.7,5.53,4.58,,RB
2556118,Dwayne Washington,RB,NO,1.15,0.114,0.0187,1.07,1.23,-8.46,-7.48,-11,361,317,344,88,15,93.4,3.74,2.95,,RB
2561099,Mike Boone,RB,DEN,1.13,0.554,0.0136,0.431,1.65,-8.48,-8.12,-10.6,362,340,337,89,15,86.9,5.36,4.34,,RB
2561344,Buddy Howell,RB,LAR,1.12,0.743,0.0134,0.352,1.78,-8.49,-8.2,-10.5,363,341,333,90,15,89.9,3.45,3.75,,RB
2564889,Eno Benjamin,RB,ARI,1.1,0.789,0.104,0.227,1.83,-8.5,-8.32,-10.4,365,346,332,91,15,95,4.08,4.1,,RB
2550512,Damien Williams,RB,CHI,1,,0.0379,,,-8.61,,,370,,,92,15,,,,O,RB
2560817,Ryan Nall,RB,CHI,0.962,0.111,0.0121,0.885,1.04,-8.64,-7.67,-11.2,373,327,351,93,15,74.3,7.34,4.58,,RB
2564640,J.J. Taylor,RB,NE,0.95,,0.00451,,,-8.66,,,374,,,94,15,83.3,6.6,7.1,O,RB
2559150,Corey Clement,RB,DAL,0.945,0.585,0.0402,0.295,1.34,-8.66,-8.26,-10.9,375,343,342,95,15,101,1.79,2.76,,RB
2562890,Jakob Johnson,RB,NE,0.905,0.407,0.0353,0.628,1.19,-8.7,-7.92,-11.1,376,336,346,96,15,82.9,3.97,3.49,,RB
2565066,Gabe Nabers,RB,LAC,0.87,,0.0173,,,-8.74,,,379,,,97,15,90.4,3.54,4.32,O,RB
2555432,Andy Janovich,RB,CLE,0.853,0.321,0.0155,0.496,1.06,-8.75,-8.06,-11.2,382,338,350,98,15,93,7.82,5.11,,RB
2562600,Trayveon Williams,RB,CIN,0.837,0.338,0.0132,0.606,1.07,-8.77,-7.95,-11.2,384,337,349,99,15,87.6,4.03,3.41,,RB
2552636,Michael Burton,RB,KC,0.824,0.747,0.093,0.314,1.34,-8.78,-8.24,-10.9,386,342,341,100,15,102,4.71,4.33,,RB
